doc_id,page_no,table_id,bbox,caption,header_rows,source,engine,engine_version,confidence,source_sha256
Beccaro_Luca,61,Beccaro_Luca_p61_t12,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,63,Beccaro_Luca_p63_t13,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,64,Beccaro_Luca_p64_t14,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,64,Beccaro_Luca_p64_t15,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,67,Beccaro_Luca_p67_t16,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,72,Beccaro_Luca_p72_t17,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,75,Beccaro_Luca_p75_t18,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,78,Beccaro_Luca_p78_t19,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,80,Beccaro_Luca_p80_t20,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,81,Beccaro_Luca_p81_t21,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,82,Beccaro_Luca_p82_t22,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,85,Beccaro_Luca_p85_t23,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,87,Beccaro_Luca_p87_t24,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,88,Beccaro_Luca_p88_t25,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,90,Beccaro_Luca_p90_t26,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,95,Beccaro_Luca_p95_t27,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,96,Beccaro_Luca_p96_t28,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,97,Beccaro_Luca_p97_t29,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,97,Beccaro_Luca_p97_t30,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,98,Beccaro_Luca_p98_t31,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,99,Beccaro_Luca_p99_t32,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,99,Beccaro_Luca_p99_t33,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,100,Beccaro_Luca_p100_t34,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,101,Beccaro_Luca_p101_t35,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,101,Beccaro_Luca_p101_t36,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,102,Beccaro_Luca_p102_t38,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,103,Beccaro_Luca_p103_t39,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,104,Beccaro_Luca_p104_t40,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,105,Beccaro_Luca_p105_t41,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,106,Beccaro_Luca_p106_t42,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,107,Beccaro_Luca_p107_t43,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,108,Beccaro_Luca_p108_t44,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,109,Beccaro_Luca_p109_t45,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,109,Beccaro_Luca_p109_t46,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,110,Beccaro_Luca_p110_t47,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,111,Beccaro_Luca_p111_t48,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,112,Beccaro_Luca_p112_t49,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,113,Beccaro_Luca_p113_t50,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,114,Beccaro_Luca_p114_t51,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
Beccaro_Luca,115,Beccaro_Luca_p115_t52,,Table context extracted from document structure,1,vector,partition_pdf,<module 'unstructured.__version__' from 'C:\\Users\\admin\\PycharmProjects\\Nexus_PdfExtraction\\PDF-Extraction-Tool\\myvenv\\Lib\\site-packages\\unstructured\\__version__.py'>,,ae4c29b6e1b577564c4894f64821fbc918f167089bff31b9ea8cd2a17d347f84
